Workload                  	Metric                   	  Count	      %	 AvgChange
429.mcf-51B.csv           	l2c_useless_prefetch     	   4993	  10.12	      2.16
429.mcf-51B.csv           	llc_useless_prefetch     	  25907	  52.48	     39.64
429.mcf-51B.csv           	l1d_useful_prefetch_hit  	    776	   1.57	      6.85
429.mcf-51B.csv           	l2c_useful_prefetch_hit  	   1777	   3.60	      2.12
429.mcf-51B.csv           	llc_useful_prefetch_hit  	  12419	  25.16	     13.92
433.milc-127B.csv         	l1d_mshr_pf_hit          	  19553	  21.40	      2.08
433.milc-127B.csv         	l2c_mshr_pf_hit          	  47244	  51.70	      1.23
433.milc-127B.csv         	llc_mshr_pf_hit          	    685	   0.75	      1.39
433.milc-127B.csv         	l1d_useless_prefetch     	   5201	   5.69	      1.02
433.milc-127B.csv         	l2c_useless_prefetch     	  38377	  42.00	      1.79
433.milc-127B.csv         	llc_useless_prefetch     	  45826	  50.15	      8.43
433.milc-127B.csv         	l1d_useful_prefetch_hit  	  14951	  16.36	      2.05
433.milc-127B.csv         	l2c_useful_prefetch_hit  	  55346	  60.57	      1.55
433.milc-127B.csv         	llc_useful_prefetch_hit  	   7494	   8.20	      7.37
433.milc-274B.csv         	l1d_mshr_pf_hit          	  24648	  26.14	      1.37
433.milc-274B.csv         	l2c_mshr_pf_hit          	   4867	   5.16	      1.01
433.milc-274B.csv         	llc_mshr_pf_hit          	    768	   0.81	      1.01
433.milc-274B.csv         	l1d_useless_prefetch     	  36084	  38.27	      1.19
433.milc-274B.csv         	l2c_useless_prefetch     	  30682	  32.54	      1.23
433.milc-274B.csv         	llc_useless_prefetch     	  28431	  30.16	      8.09
433.milc-274B.csv         	l1d_useful_prefetch_hit  	  24589	  26.08	      1.37
433.milc-274B.csv         	l2c_useful_prefetch_hit  	  31073	  32.96	      1.62
433.milc-274B.csv         	llc_useful_prefetch_hit  	  24527	  26.01	      2.54
433.milc-337B.csv         	l1d_mshr_pf_hit          	   5755	   6.41	      1.13
433.milc-337B.csv         	l2c_mshr_pf_hit          	  44602	  49.71	      1.35
433.milc-337B.csv         	llc_mshr_pf_hit          	  10079	  11.23	      1.00
433.milc-337B.csv         	l1d_useless_prefetch     	   5447	   6.07	      1.03
433.milc-337B.csv         	l2c_useless_prefetch     	  71143	  79.29	      1.72
433.milc-337B.csv         	llc_useless_prefetch     	  52360	  58.36	     10.29
433.milc-337B.csv         	l1d_useful_prefetch_hit  	   5544	   6.18	      1.13
433.milc-337B.csv         	l2c_useful_prefetch_hit  	  43797	  48.81	      2.60
433.milc-337B.csv         	llc_useful_prefetch_hit  	  13979	  15.58	      2.02
434.zeusmp-10B.csv        	l1d_mshr_pf_hit          	    854	  17.85	      2.97
434.zeusmp-10B.csv        	l2c_mshr_pf_hit          	    238	   4.98	      1.13
434.zeusmp-10B.csv        	llc_mshr_pf_hit          	     28	   0.59	      1.11
434.zeusmp-10B.csv        	l1d_useless_prefetch     	   2263	  47.31	      8.02
434.zeusmp-10B.csv        	l2c_useless_prefetch     	   1678	  35.08	      2.36
434.zeusmp-10B.csv        	llc_useless_prefetch     	   2254	  47.13	     10.24
434.zeusmp-10B.csv        	l1d_useful_prefetch_hit  	    836	  17.48	      3.59
434.zeusmp-10B.csv        	l2c_useful_prefetch_hit  	   3433	  71.78	      8.78
434.zeusmp-10B.csv        	llc_useful_prefetch_hit  	   2285	  47.77	      9.61
